Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Index,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Combined MPG,City MPG,Highway MPG,Annual Fuel Cost
2002,Chevrolet,Tahoe 1500 4WD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2500
2002,Chevrolet,Silverado 2500 2WD (Bifuel),Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,6,No,No,Regular Gasoline,10,10,11,2500
2002,Mercury,Sable,Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,20,17,25,2500
2002,Ford,Taurus,Large Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,20,17,25,2500
2002,Ford,Taurus Wagon,Midsize Station Wagons,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,19,17,24,2050
2002,Mercury,Sable Wagon,Midsize Station Wagons,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,19,17,24,2200
2002,Chevrolet,Tahoe 1500 AWD,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,13,17,2200
2002,Ford,F150 Dual-fuel 2WD (CNG),Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,13,11,15,1750
2002,Ford,F150 Dual-fuel 4WD (CNG),Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,12,11,14,1850
2002,Ford,F150 Dual-fuel 2WD (CNG),Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,12,11,14,2500
2002,Ford,F150 Dual-fuel 4WD (CNG),Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,12,11,14,2500
2002,Chevrolet,Silverado 1500 4WD,Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,14,12,16,2500
2002,Chevrolet,Silverado 1500 2WD,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,15,13,18,1450
2002,GMC,Sierra 1500 2WD,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.3,No,No,Regular Gasoline,15,13,18,2900
